,EG 통계량,p값,5% 임계값,장기 탄력성,n,판정
전체(월별),-1.028318207705947,0.8973434403037174,-3.3670063137294513,-0.007517204464558495,200,공적분 없음
전체(일별),-1.367075970558339,0.8085757172927238,-3.3376152389016265,-0.007953059289691033,4116,공적분 없음
셰일 확대기(일별),-2.1795409212703203,0.4349375469801543,-3.341615398459651,-0.15065023255234394,1116,공적분 없음
유가 급락·저유가(일별),-3.3567166930531114,0.04739049411233343,-3.3406264094939444,-0.0991420449457019,1361,공적분 있음
코로나·회복(일별),-1.0414010356280023,0.8947095756763294,-3.348679347453641,-0.04257197287357521,489,공적분 없음
강달러·긴축(일별),-2.6017319517095427,0.23613263816649882,-3.344501318453255,-0.12267745379052569,732,공적분 없음
최근(일별),-1.1814145173846313,0.8627005745369288,-3.35082175566022,0.05354328053760643,418,공적분 없음
