주기,형태,변수,ADF 통계량,p값,5% 임계값,판정
일별,로그 수준,brent,-2.845393496539735,0.18077174764429604,-3.411565040179026,단위근(비정상)
일별,로그 수준,usdkrw,-3.109647877122505,0.10395369339798272,-3.4115637256079276,단위근(비정상)
일별,로그수익률,brent,-10.533830938713615,9.007569246370592e-19,-2.8622481409219698,정상
일별,로그수익률,usdkrw,-13.644951320599812,1.6262847784486137e-25,-2.8622467556458537,정상
월별,로그 수준,brent,-2.262084886004705,0.45502441443191943,-3.4330150618380553,단위근(비정상)
월별,로그 수준,usdkrw,-2.639653031957578,0.2619821545659592,-3.4330150618380553,단위근(비정상)
월별,로그수익률,brent,-11.040033636897952,5.3948758727181435e-20,-2.8763259091636213,정상
월별,로그수익률,usdkrw,-8.775654909591765,2.452981533802032e-14,-2.876401960790147,정상
