,0
2012-07-03,46.75951864104733
2012-07-11,47.96907393214297
2012-07-18,48.37964527524235
2012-07-25,49.34030933500992
2012-08-01,49.57062656061492
2012-08-08,49.09465408433789
2012-08-15,49.16623950227186
2012-08-22,49.13490304008547
2012-08-29,49.295138221142565
2012-09-06,49.32237542660022
2012-09-13,49.26846684826208
2012-09-20,48.57632607702522
2012-09-27,48.35008711319685
2012-10-04,48.14884531963047
2012-10-12,47.68604387848374
2012-10-19,47.47449327537337
2012-10-26,47.07188581903313
2012-11-02,47.101109371519236
2012-11-09,46.65581827821823
2012-11-19,46.78898966552371
2012-11-27,47.21975246108516
2012-12-04,47.20265930661093
2012-12-11,47.21456835176041
2012-12-18,47.138053571258254
2012-12-26,46.9885897512428
2013-01-03,46.986100407137165
2013-01-10,46.96044681771137
2013-01-17,46.575582789666214
2013-01-25,46.14437275637571
2013-02-01,46.52300290964552
2013-02-08,46.67996772145094
2013-02-15,46.41283694548666
2013-02-25,46.4915880759226
2013-03-04,46.371327189507966
2013-03-11,46.478003606837234
2013-03-18,46.21738043145622
2013-03-25,45.873616719111645
2013-04-02,45.7374549934475
2013-04-09,46.392829731622946
2013-04-16,45.51792203136292
2013-04-23,45.41377666628893
2013-04-30,45.74415155693783
2013-05-07,45.24708255407942
2013-05-14,45.819656951880916
2013-05-21,45.53187798048024
2013-05-29,45.655744689422505
2013-06-05,45.88198998544144
2013-06-12,46.38145841318158
2013-06-19,46.73117002620115
2013-06-26,49.13537178984754
2013-07-03,49.68839201862762
2013-07-11,49.06659966489195
2013-07-18,49.012181763434384
2013-07-25,48.87681671843429
2013-08-01,48.76668312431658
2013-08-08,48.7386316784213
2013-08-15,48.22599748252738
2013-08-22,48.33331260818025
2013-08-29,48.18101952500525
2013-09-06,47.974176336183305
2013-09-13,47.510258651833595
2013-09-20,47.500554093876964
2013-09-27,47.15533467338949
2013-10-04,46.9017843021731
2013-10-11,47.00844144523252
2013-10-21,46.84987379321403
2013-10-28,46.9044607674157
2013-11-04,46.92677704361668
2013-11-12,47.068441325939546
2013-11-19,46.51090672336031
2013-11-26,46.099181423343076
2013-12-04,45.865986683095905
2013-12-11,45.4540309239814
2013-12-18,45.2817428187688
2013-12-26,44.74713607954706
2014-01-03,44.45169405792182
2014-01-10,44.53051312158765
2014-01-17,44.57572829291014
2014-01-27,44.529739994250164
2014-02-03,44.34986798554079
2014-02-10,44.59639381924871
2014-02-18,44.32326374454318
2014-02-25,44.240919870847236
2014-03-04,43.995306516541184
2014-03-11,43.956085262242
2014-03-18,43.77421996803134
2014-03-25,43.5851931893497
2014-04-01,43.42646497841447
2014-04-08,43.29179089011601
2014-04-15,43.885389492805736
2014-04-23,43.75494246563115
2014-04-30,43.79135954563043
2014-05-07,43.92828479935577
2014-05-14,43.961066437208295
2014-05-21,43.78809871247443
2014-05-29,43.63939344323488
2014-06-05,43.599191408466716
2014-06-12,43.66453604875232
2014-06-19,43.28071337957866
2014-06-26,43.35287660718928
2014-07-03,43.21607234794943
2014-07-11,43.193833393423
2014-07-18,43.10036230478487
2014-07-25,43.293384273603586
2014-08-01,43.515093259903416
2014-08-08,43.455979401898325
2014-08-15,43.10417743131424
2014-08-22,42.788400039993185
2014-08-29,42.751371809831
2014-09-08,43.046835812257356
2014-09-15,43.36370416591241
2014-09-22,43.60586051896042
2014-09-29,43.32873766829679
2014-10-06,42.63886301718249
2014-10-15,43.41633931389011
2014-10-22,40.088545376183106
2014-10-29,40.191695082128106
2014-11-05,41.07802803592106
2014-11-13,40.56412610443631
2014-11-20,40.254806970659004
2014-11-28,39.55410068144707
2014-12-05,39.62461052654482
2014-12-12,39.05729232053853
2014-12-19,38.68308946568605
2014-12-30,38.052817479772244
2015-01-07,36.82788048502131
2015-01-14,35.18332842936261
2015-01-22,35.58123889275561
2015-01-29,35.618241972656726
2015-02-05,35.70076983167896
2015-02-12,36.40353014716088
2015-02-20,36.22727170435341
2015-02-27,35.72444868873502
2015-03-06,35.95218189853617
2015-03-13,37.067380497977275
2015-03-20,37.074988505109204
2015-03-27,36.526858357413445
2015-04-06,37.29343157394713
2015-04-13,36.17267301084256
2015-04-20,36.33094913631994
2015-04-27,36.164348719920255
2015-05-04,35.76706861568911
2015-05-11,36.22703344335988
2015-05-18,36.34157032303396
2015-05-26,36.66118943232733
2015-06-02,37.23094122993571
2015-06-09,37.7062460078277
2015-06-16,38.34690919975276
2015-06-23,39.022623669547905
2015-06-30,38.42470391507778
2015-07-08,38.76464566573736
2015-07-15,38.52841370824542
2015-07-22,38.390024865207394
2015-07-29,38.77303821058916
2015-08-05,39.033930750344055
2015-08-12,39.18088184510439
2015-08-19,39.564764427595236
2015-08-26,39.0467698414557
2015-09-03,38.06529432662091
2015-09-11,37.133784265258164
2015-09-18,37.24238481826908
2015-09-25,36.59231218733423
2015-10-02,36.4530622538023
2015-10-09,37.7184982774341
2015-10-19,36.32722015568103
2015-10-26,36.21336227113063
2015-11-02,36.48901659530134
2015-11-09,36.1170111035482
2015-11-17,37.748447769848504
2015-11-24,37.82267222452118
2015-12-02,38.180452945139955
2015-12-09,40.11022288644873
2015-12-16,41.36628208492176
2015-12-23,41.40597071612752
2015-12-31,40.150964203200274
2016-01-08,41.423151931311985
2016-01-15,42.28121187211362
2016-01-25,43.007409744098794
2016-02-01,41.555622215231914
2016-02-08,42.73085778966812
2016-02-16,38.93290663225218
2016-02-23,38.86389635017153
2016-03-01,37.27216894561227
2016-03-08,37.273760814361985
2016-03-15,37.526626268386686
2016-03-22,39.61428191044274
2016-03-30,40.47443785707968
2016-04-06,40.79302781820342
2016-04-13,41.41399898825198
2016-04-20,41.80799436850947
2016-04-27,41.24003263486779
2016-05-04,42.81714307611714
2016-05-11,43.201268577261175
2016-05-18,43.22259473557003
2016-05-25,42.979242448653565
2016-06-02,43.15947196925355
2016-06-09,43.15436546959772
2016-06-16,43.632276852851994
2016-06-23,45.60381466189984
2016-06-30,50.55747623218835
2016-07-08,51.25712999948041
2016-07-15,51.144947628457146
2016-07-22,50.58207935664138
2016-07-29,49.92291838419776
2016-08-05,48.843559464696774
2016-08-12,48.030525363641786
2016-08-19,48.033717292546335
2016-08-26,48.8449724308303
2016-09-02,48.18939671087435
2016-09-12,48.24186994009919
2016-09-19,49.066476165994125
2016-09-26,50.288999820073265
2016-10-03,49.02158988603032
2016-10-11,48.55858092922188
2016-10-18,48.53522779214302
2016-10-25,49.446657604888024
2016-11-01,48.905456956569395
2016-11-08,48.9688220521086
2016-11-16,49.334306178350026
2016-11-23,49.10556627103298
2016-12-01,47.22551402298078
2016-12-08,47.88066086713154
2016-12-15,48.04471215955971
2016-12-22,48.89049106216023
2017-01-03,47.949253335294976
2017-01-10,47.43909220747591
2017-01-18,48.39764796105378
2017-01-26,49.416861027238504
2017-02-02,49.52173557496795
2017-02-09,49.930860412632924
2017-02-16,50.53855673073367
2017-02-24,51.15094461361579
2017-03-03,49.94828554612836
2017-03-10,50.24959093203701
2017-03-17,50.369042259719805
2017-03-24,50.637016810685964
2017-03-31,50.44627470086086
2017-04-07,50.03222516736559
2017-04-17,49.854177538747685
2017-04-24,49.864961086957365
2017-05-01,49.58927712621842
2017-05-08,49.4567635944865
2017-05-15,49.504736151083755
2017-05-22,50.40279312255694
2017-05-30,50.191452539928065
2017-06-06,49.43435644052102
2017-06-13,49.32301180287516
2017-06-20,48.26004980600224
2017-06-27,48.457729597349925
2017-07-05,46.86466674688697
2017-07-12,46.425895719801595
2017-07-19,46.67550362819732
2017-07-26,46.294331242121295
2017-08-02,45.76596668428181
2017-08-09,45.41191262353368
2017-08-16,44.92471595756849
2017-08-23,44.967221677526574
2017-08-30,45.04662841191953
2017-09-07,44.72110357923867
2017-09-14,44.50386426899409
2017-09-21,44.129737918289926
2017-09-28,43.885390085664554
2017-10-05,43.84706458032989
2017-10-13,44.4710587998433
2017-10-20,44.458973725600956
2017-10-27,44.536055974948844
2017-11-03,44.565742807403346
2017-11-13,44.55100657828863
2017-11-20,44.25448141998343
2017-11-28,44.572254305930414
2017-12-05,44.75409318319094
2017-12-12,44.81405987180331
2017-12-19,44.71207668413025
2017-12-28,45.013190514258355
2018-01-05,44.99666493851565
2018-01-12,44.89236059595205
2018-01-22,44.74617951068014
2018-01-29,45.07336885785072
2018-02-05,45.87906815351724
2018-02-12,45.930324536419924
2018-02-20,46.114073823722286
2018-02-27,46.09221130751936
2018-03-06,46.339131169708246
2018-03-13,46.91591256532717
2018-03-20,46.73776375406747
2018-03-27,46.37294060756486
2018-04-05,46.64589103130107
2018-04-12,46.460132020297706
2018-04-19,46.480672492871584
2018-04-26,46.88519429121973
2018-05-03,47.29425182189283
2018-05-11,47.33860174479885
2018-05-18,46.698789835397335
2018-05-25,47.05815077591374
2018-06-04,46.46259046022156
2018-06-11,46.107469662741345
2018-06-18,47.23820925683758
2018-06-25,46.675237438513534
2018-07-02,46.53394815681242
2018-07-10,46.28727384050268
2018-07-17,45.459126408650654
2018-07-24,44.94229190692483
2018-07-31,45.08402035653079
2018-08-07,44.942651537728345
