국면,기간,일수,일별 상관,일별 p값,베타(유가 1%→환율 %),월별 상관,월별 p값,개월,Brent 변화,원/달러 변화
셰일 확대기,2010-01 ~ 2014-06,1115,-0.3140911301728225,5.962034687360363e-27,-0.12079656247200207,-0.4648714077685204,0.00045323803833374857,53,0.40065598587107365,-0.11122825513969425
유가 급락·저유가,2014-07 ~ 2019-12,1361,-0.17761698912586973,4.136189114739462e-11,-0.04497479318113505,-0.2501733209054832,0.042772538796139514,66,-0.3885781306387587,0.14322746611259518
코로나·회복,2020-01 ~ 2021-12,489,-0.18050295505818317,5.9615234264788264e-05,-0.01594941620361701,-0.27655163626453977,0.19081096217155002,24,0.17240865026099939,0.026460555291679233
강달러·긴축,2022-01 ~ 2024-12,732,-0.05483942873524384,0.13826368355449653,-0.014181779644541344,0.19943146289310104,0.24356639759680895,36,-0.0469009584664537,0.2404502304031424
최근,2025-01 ~ 2026-09,418,0.2674828867197953,2.7945933760569067e-08,0.05269590816679368,-0.024357489343473527,0.9188117324182719,20,0.7178881008668243,-0.07516366500964333
전체,2010-01 ~ 2026-09,4115,-0.10099170835046321,8.409852246657676e-11,-0.020783344358943738,-0.14682260138932363,0.03851157772260289,199,0.650056768008074,0.1964856791425056
